piat1997 piat1998 piat1999 piat2000 income1 fgrade mgrade
61 85 69 71 17.626 12 12
NA 65 50 61 NA 10 15
48 44 50 NA NA NA 8
60 37 42 52 NA NA 8
NA 38 72 69 8 NA 14
59 79 61 57 NA 14 14
52 72 79 69 NA NA NA
73 79 82 73 2.076 12 11
41 67 NA NA NA 12 12
64 69 72 NA NA 12 12
73 74 82 NA NA 12 12
69 78 72 70 42 12 16
51 45 50 70 1 12 12
63 72 69 74 NA NA 11
80 85 89 92 23 NA 11
78 81 96 97 NA 12 14
74 50 NA 62 NA 12 11
80 65 85 86 5.8 16 13
63 72 64 NA NA 11 14
68 86 73 90 6 NA 15
82 92 95 97 NA 15 16
61 58 79 72 34 12 12
76 55 69 82 0.201 12 10
80 81 87 85 50 16 18
50 48 61 73 2 12 9
60 55 62 NA 26 16 13
76 82 NA NA NA 14 18
64 NA 57 65 NA 12 NA
93 93 95 97 80 16 16
50 58 77 76 NA NA NA
49 54 72 65 37 12 14
58 62 81 81 14 16 16
60 70 72 82 10 NA NA
67 90 84 72 25 NA 12
68 80 85 90 50 12 9
66 59 60 70 40 12 14
75 76 81 85 12.978 NA NA
90 89 97 95 NA 12 16
73 76 81 79 NA 7 16
44 50 NA 55 NA NA NA
31 NA 28 NA NA NA 11
60 56 67 65 0 12 12
NA NA 87 74 NA 16 9
79 68 98 88 26 11 12
92 80 91 NA NA 3 6
35 62 70 74 NA 18 13
39 50 71 NA NA NA 9
61 88 63 83 NA 12 15
70 63 64 70 13 14 12
69 53 65 66 13 NA 11
52 54 49 NA NA NA 12
60 67 75 70 0 NA 12
24 48 42 52 0.346 NA NA
40 50 66 67 NA NA 12
NA 29 49 49 NA NA 12
55 63 79 69 NA 16 16
60 47 52 49 3.2 14 15
54 64 78 68 3 NA 14
61 75 77 93 NA 12 12
58 47 61 50 51.5 12 15
40 56 51 62 12.48 NA NA
85 74 100 92 25 11 12
60 57 83 77 17 NA 9
58 NA 49 55 20 8 14
60 88 89 89 0 13 13
75 73 74 82 30 11 10
54 45 43 57 NA 11 10
44 NA 46 73 NA 12 12
30 57 30 59 NA NA 8
70 NA 94 NA 25 14 14
51 59 49 25 NA 9 10
84 89 95 93 19 16 16
58 67 NA 83 0.25 18 18
61 60 65 89 NA 12 12
56 51 61 60 NA 12 12
65 68 72 66 11 NA 12
66 73 NA 69 13 17 18
58 58 60 74 10 13 14
39 53 NA NA NA NA 12
59 76 50 NA 0.8 15 12
60 NA 60 NA NA 12 12
79 74 74 66 19 NA 10
62 74 72 NA NA 13 13
NA 66 49 66 NA 16 16
85 88 91 97 16 12 13
68 NA 68 70 14.4 NA 11
58 49 54 39 NA 12 NA
50 62 50 74 10 12 11
78 93 NA 93 54.56 12 12
58 75 61 52 8 4 6
63 59 83 67 14 NA 12
67 83 90 92 21 12 9
79 78 86 94 10 12 12
49 58 66 56 23 12 12
50 70 64 68 NA 12 14
48 60 56 52 NA 12 14
97 92 72 71 17 NA NA
70 NA 78 74 NA 15 14
67 74 NA NA 3 NA 12
41 65 66 60 32 15 12
95 96 95 99 21 12 12
NA 86 88 93 23 NA 15
NA 60 67 NA NA 12 14
66 71 72 NA 26 16 16
74 NA 88 89 28 16 12
49 64 61 55 NA NA 12
55 42 27 41 NA 16 16
63 50 52 69 6 16 16
NA 59 75 65 NA NA NA
42 71 NA NA 42.5 14 16
76 83 80 86 0.013 11 11
67 64 63 92 48 12 11
69 70 73 76 15 12 12
56 NA 43 68 NA 12 14
71 55 72 66 NA 12 12
60 37 88 78 42 10 12
83 73 NA NA 6 12 14
69 66 61 73 NA 16 NA
71 85 74 70 21 9 14
62 65 NA 22 18.9 NA 12
53 65 67 73 30.5 13 NA
NA 41 34 NA NA NA 12
NA 72 66 73 NA 16 12
51 63 60 67 16 12 12
56 68 75 NA 35 14 12
52 62 70 60 20 NA 13
16 20 23 26 NA 10 13
60 54 62 77 NA NA NA
88 96 89 NA NA 16 16
56 65 75 83 0 12 10
85 89 92 NA NA 10 12
66 70 66 69 NA NA 11
72 73 74 60 30 16 16
68 82 79 77 46.6 NA 14
60 67 66 81 5 NA 11
43 62 NA 58 5 NA 11
55 47 34 65 NA NA 11
80 90 89 64 33 NA NA
67 87 99 87 0 12 13
79 88 73 92 0.03 12 12
81 78 82 87 23 NA 12
65 85 75 88 NA 12 12
28 2 54 61 NA 8 14
88 87 90 97 NA 12 12
75 76 83 87 21 16 18
65 63 69 63 2 16 16
75 73 79 81 NA 12 12
70 72 85 89 8.5 6 11
58 46 53 70 19 NA 12
83 87 86 97 NA NA NA
66 69 68 89 14.556 12 12
65 59 66 73 1.5 12 12
37 36 NA 43 16 12 12
78 83 63 74 12.9 11 8
47 55 58 67 9.998 8 8
97 50 45 100 NA 12 14
52 56 56 100 3 12 9
44 23 39 100 NA NA 6
46 NA 49 NA NA 12 17
55 66 66 68 NA 12 11
47 52 63 66 NA NA 11
49 63 59 62 8 11 10
52 50 56 62 8 19 12
50 47 54 63 NA NA 11
52 66 NA 46 NA 15 14
56 69 50 75 NA 16 12
73 86 75 75 9.912 12 12
53 57 56 69 19 12 12
70 72 70 72 0 12 11
57 55 55 53 NA 12 12
51 58 64 70 17 11 14
53 57 60 70 15.6 NA 11
50 70 70 72 18 13 12
56 55 65 70 NA NA 14
49 47 89 69 NA NA 10
65 72 65 76 NA 13 14
75 78 92 94 6.5 14 12
68 71 56 75 NA 12 17
55 61 60 64 21 15 12
63 71 66 67 NA 13 12
56 50 0 59 1.257 10 9
62 67 63 57 30 18 16
73 48 NA 45 NA 10 12
62 53 73 65 30 12 11
56 53 51 NA NA 11 NA
92 70 71 75 NA 11 12
NA 59 65 64 13 12 14
71 69 69 75 50 NA 14
86 82 90 91 NA 16 NA
86 87 92 94 20 17 18
NA 36 41 46 NA 17 16
58 54 65 64 NA 11 11
69 71 87 81 NA NA 12
84 35 29 26 NA 5 4
50 70 68 80 5 5 6
NA 43 NA 48 NA 12 12
76 59 73 89 20 NA 6
75 90 92 97 1.813 12 NA
43 43 71 46 10 13 13
40 44 40 40 10 13 13
48 48 80 84 0 NA 12
70 73 91 71 13 14 15
46 45 49 63 NA 12 12
38 58 66 65 NA NA 14
49 46 66 65 21 3 3
74 NA 70 85 30 NA 10
46 75 78 74 34 NA 6
70 71 87 91 10 12 15
65 40 60 70 0 NA NA
61 54 56 55 NA NA NA
48 43 44 80 18.5 15 16
75 81 NA 93 3 16 12
35 55 57 34 NA 6 6
73 72 84 84 NA 16 9
NA 39 62 33 16 8 14
63 93 81 89 NA NA 11
73 79 71 75 40 NA 10
63 84 75 64 40 NA 11
NA 66 55 66 NA 13 14
66 68 69 68 50 NA NA
61 57 38 43 0 NA 12
63 53 90 85 NA NA NA
NA 54 NA 70 15 14 14
66 70 60 69 13.368 NA 12
73 94 92 95 24 NA NA
61 50 49 50 0 12 12
91 NA 94 NA 32 12 11
83 76 72 NA NA 9 9
51 57 NA NA NA NA NA
72 73 69 75 NA 11 8
50 60 63 50 23.5 7 7
45 55 NA 53 NA NA 12
53 69 NA 1 NA 6 8
64 75 88 NA NA 14 12
24 NA NA 45 NA 12 12
100 91 93 96 NA 13 13
54 48 66 NA 23 16 14
51 49 49 99 23 16 14
62 89 91 90 NA 12 9
56 65 69 4 2.675 13 12
63 60 69 64 21 12 8
49 67 77 90 3 12 12
68 71 71 79 23 14 20
59 68 64 62 NA 17 18
55 59 68 71 41 11 14
80 81 76 99 43 NA 10
48 46 45 66 NA 18 16
60 68 69 70 10.4 12 12
57 64 68 68 34 NA 11
63 73 70 57 10.5 12 11
51 60 53 51 2.328 NA 10
60 74 69 83 NA 12 11
53 58 61 61 8 12 12
60 62 57 60 NA 8 10
66 75 75 NA 13 12 14
53 38 36 NA NA 12 16
47 37 99 98 1.7 12 12
60 60 94 NA NA NA 8
69 NA 71 87 NA NA 3
48 23 26 41 5.928 14 12
54 38 53 NA 5.928 16 14
55 59 57 74 18 5 3
65 80 68 72 NA NA 5
38 54 44 52 NA 8 6
38 28 54 66 NA NA 12
17 40 8 22 0 17 13
25 26 70 18 0 17 13
25 35 64 55 28 NA 7
NA 23 41 28 NA 12 13
NA 73 62 85 NA 16 16
48 44 59 53 9.907 12 13
58 70 69 61 9 NA 14
80 88 87 93 NA 12 12
64 66 86 86 30 12 10
23 1 NA 55 NA NA NA
65 68 64 69 48 12 NA
85 73 58 64 18 14 12
55 67 69 77 18 16 17
45 52 56 52 NA 14 9
31 19 19 50 NA 12 12
72 88 NA 82 18 11 14
20 23 38 38 4 12 13
56 68 72 70 2 5 11
28 33 52 NA NA NA 8
64 78 80 74 NA 12 11
60 54 66 67 12 9 12
44 38 47 65 2 NA 12
60 61 63 60 NA 11 12
54 62 69 51 NA 12 12
49 47 68 62 NA 12 12
44 49 47 47 NA NA 16
66 66 73 93 7.5 NA 11
43 59 NA NA 27.648 12 12
63 73 72 88 30 NA 11
65 77 93 NA NA NA 12
92 93 97 97 16 8 8
60 75 83 69 10 12 NA
59 68 73 75 NA 12 12
83 96 88 93 13 NA NA
20 61 58 21 NA NA NA
63 69 NA NA 14 12 9
76 81 85 67 NA 20 15
45 54 53 49 NA 11 12
73 49 56 42 22 14 13
NA 46 59 57 27 NA 9
69 82 NA 72 NA 12 12
65 69 NA 79 8 12 12
42 44 47 50 20 12 11
61 68 72 73 NA NA 14
87 90 92 97 11 12 11
67 74 69 77 0.8 16 14
90 92 90 91 7 NA NA
65 59 51 NA 9.355 NA 12
NA 59 61 100 NA NA 13
85 90 89 90 NA NA 14
70 69 64 78 83 12 12
59 75 69 70 18 12 12
71 65 91 94 NA NA 12
76 80 73 75 22 NA 12
51 54 51 55 NA 15 16
